1,0,18.4,71,1003
1,1,20.5,47,1000
1,2,20.3,47,1000
1,3,20,46,1000
1,4,19,51,1000
1,5,17,59,1000
1,6,15,66,1000
1,7,14,69,1001
1,8,14.6,67,1002
1,9,15,64,1003
1,10,17,58,1004
1,11,19.8,55,1004
1,12,22.3,51,1003
2,0,18.5,71,1003
2,1,15,65,1000
2,2,14.6,65,999
2,3,12,46,999.23
2,4,11,51,1003
2,5,10,50,1000
2,6,10.4,59,1002
2,7,11,60,1002
2,8,12.66,62,1000
2,9,13.70,62,1000
2,10,15,71,62,1003
2,11,18.5,60,1002
2,12,20.5,46.5,1000
3,0,20.5,46.5,1000
3,1,18,71,1003
3,2,20.5,46.5,1000
3,3,15.5,40,995
3,4,13,40,995
3,5,12,42,1000
3,6,10.3,40,999
3,7,10,40,999
3,8,12,40,1000
3,9,14,45,1002
3,10,14.8,45,1002
3,11,16,46,1000
3,12,20.5,46.5,1000
4,0,13,50,1002
4,1,11,40,998
4,2,10,40,999
4,3,12.5,45,1003
4,4,14,65,1002
4,5,16,65,1002
4,6,18,71,1003
4,7,18,69,1003
4,8,19,56,1000
4,9,20.5,46.5,1000
4,10,22.4,45,1001
4,11,23,45,1001
4,12,24.6,42,1002
5,0,18,71,1003
5,1,17,65,1000
5,2,15,40,999
5,3,15,42,999
5,4,16,60,1002
5,5,16.7,63,1004
5,6,17,70,1000
5,7,16,70,1000
5,8,18,75,1010
5,9,17.6,75,1010
5,10,18.8,74,1005
5,11,19,71,1003
5,12,20.5,46.5,1000
